text,label
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
包装精美,1
做工粗糙,0
效果超出预期,1
完全失望,0
功能很实用,1
一点都不好用,0
质量稳定可靠,1
问题很多,0
价格合理,1
太贵了,0
使用起来很顺手,1
操作麻烦,0
客服回复及时,1
客服态度很差,0
非常值得购买,1
再也不会买,0
外观漂亮大方,1
设计很丑,0
效果明显,1
没有任何效果,0
体验很好,1
体验很差,0
整体满意,1
整体不满意,0
物流速度快,1
发货太慢,0
手感很好,1
手感很差,0
细节处理到位,1
细节漏洞很多,0
材质不错,1
材质廉价,0
安装简单,1
安装复杂,0
很省心,1
很糟心,0
推荐给朋友,1
不建议购买,0
超出预期,1
低于预期,0
物有所值,1
一点也不值,0
挺满意的,1
很不满意,0
用着舒服,1
用着难受,0
值得回购,1
不会回购,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
包装精美,1
做工粗糙,0
效果超出预期,1
完全失望,0
功能很实用,1
一点都不好用,0
质量稳定可靠,1
问题很多,0
价格合理,1
太贵了,0
使用起来很顺手,1
操作麻烦,0
客服回复及时,1
客服态度很差,0
非常值得购买,1
再也不会买,0
外观漂亮大方,1
设计很丑,0
效果明显,1
没有任何效果,0
体验很好,1
体验很差,0
整体满意,1
整体不满意,0
物流速度快,1
发货太慢,0
手感很好,1
手感很差,0
细节处理到位,1
细节漏洞很多,0
材质不错,1
材质廉价,0
安装简单,1
安装复杂,0
很省心,1
很糟心,0
推荐给朋友,1
不建议购买,0
超出预期,1
低于预期,0
物有所值,1
一点也不值,0
挺满意的,1
很不满意,0
用着舒服,1
用着难受,0
值得回购,1
不会回购,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
包装精美,1
做工粗糙,0
效果超出预期,1
完全失望,0
功能很实用,1
一点都不好用,0
质量稳定可靠,1
问题很多,0
价格合理,1
太贵了,0
使用起来很顺手,1
操作麻烦,0
客服回复及时,1
客服态度很差,0
非常值得购买,1
再也不会买,0
外观漂亮大方,1
设计很丑,0
效果明显,1
没有任何效果,0
体验很好,1
体验很差,0
整体满意,1
整体不满意,0
物流速度快,1
发货太慢,0
手感很好,1
手感很差,0
细节处理到位,1
细节漏洞很多,0
材质不错,1
材质廉价,0
安装简单,1
安装复杂,0
很省心,1
很糟心,0
推荐给朋友,1
不建议购买,0
超出预期,1
低于预期,0
物有所值,1
一点也不值,0
挺满意的,1
很不满意,0
用着舒服,1
用着难受,0
值得回购,1
不会回购,0
这个产品很好,1
太差了,0
非常满意,1
不推荐,0
质量不错,1
垃圾产品,0
性价比高,1
不值这个价,0
服务特别周到,1
体验非常糟糕,0
包装精美,1
做工粗糙,0
效果超出预期,1
完全失望,0
功能很实用,1
一点都不好用,0
质量稳定可靠,1
问题很多,0
价格合理,1
太贵了,0
使用起来很顺手,1
操作麻烦,0
客服回复及时,1
客服态度很差,0
非常值得购买,1
再也不会买,0
外观漂亮大方,1
设计很丑,0
效果明显,1
没有任何效果,0
体验很好,1
体验很差,0
整体满意,1
整体不满意,0
物流速度快,1
发货太慢,0
手感很好,1
手感很差,0
细节处理到位,1
细节漏洞很多,0
材质不错,1
材质廉价,0
安装简单,1
安装复杂,0
很省心,1
很糟心,0
推荐给朋友,1
不建议购买,0
超出预期,1
低于预期,0
物有所值,1
一点也不值,0
挺满意的,1
很不满意,0
用着舒服,1
用着难受,0
值得回购,1
不会回购,0
